,FUNDCODE,FDATE,TYPE,FKMBM,FKMMC,FZQCB,FCB_JZ_BL,S_INFO_WINDCODE,B_INFO_ISSUER,S_INFO_COMPCODE,S_INFO_INDUSTRYNAME,S_INFO_INDUSTRYNAME2,TOT_SHRHLDR_EQY_INCL_MIN_INT,REPORT_PERIOD,rank_1year,rank_3year,IS_SCP,Rank,IS_Rate_Bond
0,000439,2018-08-20,逆回购,12020301000014,R014,4700127.05,0.20002099999999998,,,,,,,,,,False,,False
1,000439,2018-08-20,逆回购,12020301000007,R007,3999726.0,0.170215,,,,,,,,,,False,,False
2,000439,2018-08-20,银行定期存款,10020216000021,兴业银行重庆分行20180813-20181015,4500000.0,0.191505,,兴业银行股份有限公司,2013708,,,422752000000.0000,20171231,AAA,AAA,False,AAA,False
3,000439,2018-08-20,银行定期存款,10020218000012,广发银行宁波分行20180730-20180830,4000000.0,0.17022600000000002,,广发银行股份有限公司,2024267,,,113845966000.0000,20171231,AAA,AAA,False,AAA,False
4,000439,2018-08-20,银行定期存款,10020215000018,民生银行广州分行20180626-201820827,4000000.0,0.17022600000000002,,中国民生银行股份有限公司,1600016,,,395836000000.0000,20180331,AAA,AAA,False,AAA,False
