,FUNDCODE,FDATE,TYPE,FKMBM,FKMMC,FZQCB,FCB_JZ_BL,S_INFO_WINDCODE,B_INFO_ISSUER,S_INFO_COMPCODE,S_INFO_INDUSTRYNAME,S_INFO_INDUSTRYNAME2,TOT_SHRHLDR_EQY_INCL_MIN_INT,REPORT_PERIOD,rank_1year,rank_3year,IS_SCP,Rank,IS_Rate_Bond
0,000540,2018-08-20,逆回购,12020301000R1M,RR1M,100000470.0,0.005410000000000001,,,,,,,,,,False,,False
1,000540,2018-08-20,逆回购,12020301000R1Y,RR1Y,333200859.8,0.018025,,,,,,,,,,False,,False
2,000540,2018-08-20,逆回购,12020301000R2M,RR2M,400001040.0,0.021638,,,,,,,,,,False,,False
3,000540,2018-08-20,逆回购,1202030100R014,R014,1312911129.36,0.071022,,,,,,,,,,False,,False
4,000540,2018-08-20,逆回购,12020301000R4M,RR4M,100000270.0,0.005410000000000001,,,,,,,,,,False,,False
5,000540,2018-08-20,逆回购,12020301000R6M,RR6M,200000540.0,0.010819,,,,,,,,,,False,,False
6,000540,2018-08-20,逆回购,12020301000R9M,RR9M,98000267.0,0.005301,,,,,,,,,,False,,False
7,000540,2018-08-20,逆回购,12020301000R3M,RR3M,500000870.0,0.027048000000000003,,,,,,,,,,False,,False
8,000540,2018-08-20,银行定期存款,10020224000083,民生银行南京分行20180807-20190107,100000000.0,0.005410000000000001,,中国民生银行股份有限公司,1600016,,,395836000000.0000,20180331,AAA,AAA,False,AAA,False
9,000540,2018-08-20,银行定期存款,10020225000024,广发银行20180316-20181225,500000000.0,0.027048000000000003,,广发银行股份有限公司,2024267,,,113845966000.0000,20171231,AAA,AAA,False,AAA,False
10,000540,2018-08-20,银行定期存款,10020225000025,广发银行20180718-20181022,200000000.0,0.010819,,广发银行股份有限公司,2024267,,,113845966000.0000,20171231,AAA,AAA,False,AAA,False
11,000540,2018-08-20,银行定期存款,10020229000018,浙商银行总行20180306-20190306,300000000.0,0.016229,,浙商银行股份有限公司,04D6AF5912,,,49657064000.0000,20151231,AAA,AAA,False,AAA,False
12,000540,2018-08-20,银行定期存款,10020229000019,浙商银行上海分行20180319-20181226,300000000.0,0.016229,,浙商银行股份有限公司,04D6AF5912,,,49657064000.0000,20151231,AAA,AAA,False,AAA,False
13,000540,2018-08-20,银行定期存款,10020229000021,浙商银行总行20180416-20190416,450000000.0,0.024343,,浙商银行股份有限公司,04D6AF5912,,,49657064000.0000,20151231,AAA,AAA,False,AAA,False
14,000540,2018-08-20,银行定期存款,10020229000023,浙商银行总行20180608-20180911,350000000.0,0.018933,,浙商银行股份有限公司,04D6AF5912,,,49657064000.0000,20151231,AAA,AAA,False,AAA,False
15,000540,2018-08-20,银行定期存款,10020236000002,东亚银行北京分行20180130-20181130,300000000.0,0.016229,,东亚银行(中国)有限公司,0484F11AA6,,,21262337912.0000,20171231,AAA,AAA,False,AAA,False
16,000540,2018-08-20,银行定期存款,10020240000007,光大银行常州支行20180814-20190814,100000000.0,0.005410000000000001,,中国光大银行股份有限公司,2024269,,,306584000000.0000,20180331,AAA,AAA,False,AAA,False
17,000540,2018-08-20,银行定期存款,10020240000008,光大银行北京分行20180815-20190815,200000000.0,0.010819,,中国光大银行股份有限公司,2024269,,,306584000000.0000,20180331,AAA,AAA,False,AAA,False
18,000540,2018-08-20,银行定期存款,10020241000001,中原银行20180316-20181225,100000000.0,0.005410000000000001,,中原银行股份有限公司,eUhFhgz4HU,,,45622214000.0000,20171231,AAA,AAA,False,AAA,False
19,000540,2018-08-20,银行定期存款,10020241000002,中原银行20180718-20181019,200000000.0,0.010819,,中原银行股份有限公司,eUhFhgz4HU,,,45622214000.0000,20171231,AAA,AAA,False,AAA,False
20,000540,2018-08-20,银行定期存款,10020241000003,中原银行20180718-20181018,200000000.0,0.010819,,中原银行股份有限公司,eUhFhgz4HU,,,45622214000.0000,20171231,AAA,AAA,False,AAA,False
21,000540,2018-08-20,银行定期存款,10020241000004,中原银行20180720-20181024,50000000.0,0.0027050000000000004,,中原银行股份有限公司,eUhFhgz4HU,,,45622214000.0000,20171231,AAA,AAA,False,AAA,False
22,000540,2018-08-20,银行定期存款,10020221000036,平安银行重庆分行20180320-20181120,300000000.0,0.016229,,平安银行股份有限公司,1000001,,,228141000000.0000,20180630,AAA,AAA,False,AAA,False
23,000540,2018-08-20,银行定期存款,10020224000068,民生银行厦门分行20180306-20181130,610000000.0,0.032998,,中国民生银行股份有限公司,1600016,,,395836000000.0000,20180331,AAA,AAA,False,AAA,False
24,000540,2018-08-20,银行定期存款,10020224000072,民生银行厦门分行20180612-201080912,200000000.0,0.010819,,中国民生银行股份有限公司,1600016,,,395836000000.0000,20180331,AAA,AAA,False,AAA,False
25,000540,2018-08-20,银行定期存款,10020224000081,民生银行广州分行20180723-20181019,500000000.0,0.027048000000000003,,中国民生银行股份有限公司,1600016,,,395836000000.0000,20180331,AAA,AAA,False,AAA,False
26,000540,2018-08-20,银行定期存款,10020224000082,民生银行厦门分行20180731-20181031,500000000.0,0.027048000000000003,,中国民生银行股份有限公司,1600016,,,395836000000.0000,20180331,AAA,AAA,False,AAA,False
27,000540,2018-08-20,债券,11035101110021,11附息国债21(总价),40068765.71,0.002168,110021.IB,中华人民共和国财政部,2000850,国债,,,,,,False,,True
28,000540,2018-08-20,债券,11037401899588,18盛京银行CD230(总价),298874457.45,0.016168000000000002,111899588.IB,盛京银行股份有限公司,0486D9551E,同业存单,,52255656000.0000,20171231,AAA,AAA,False,AAA,False
29,000540,2018-08-20,债券,11035201AI0061,18招商局SCP002(总价),80000438.67,0.004328,011800561.IB,招商局集团有限公司,2010164,短期融资券,超短期融资债券,518863757446.3000,20171231,AAA,AAA,True,AAA,False
30,000540,2018-08-20,债券,11035201AI0068,18平安租赁SCP007(总价),50094127.89,0.00271,011800968.IB,平安国际融资租赁有限公司,EGD8Ntrw7N,短期融资券,超短期融资债券,23194484262.0000,20180331,AAA,AAA,True,AAA,False
31,000540,2018-08-20,债券,11035201AI0093,18平安租赁SCP003(总价),30000000.0,0.001623,011800393.IB,平安国际融资租赁有限公司,EGD8Ntrw7N,短期融资券,超短期融资债券,23194484262.0000,20180331,AAA,AAA,True,AAA,False
32,000540,2018-08-20,债券,11035201AI0099,18平安租赁SCP001(总价),100302225.7,0.005425999999999999,011800199.IB,平安国际融资租赁有限公司,EGD8Ntrw7N,短期融资券,超短期融资债券,23194484262.0000,20180331,AAA,AAA,True,AAA,False
33,000540,2018-08-20,债券,11035201AI0111,18陕延油SCP005(总价),200167372.83,0.010827999999999999,011801011.IB,陕西延长石油(集团)有限责任公司,0PH6166E96,短期融资券,超短期融资债券,118787915272.9800,20171231,AAA,AAA,True,AAA,False
34,000540,2018-08-20,债券,11035201AI0151,18海运集装SCP003(总价),200003490.31,0.010819,011801251.IB,中国国际海运集装箱(集团)股份有限公司,1000039,短期融资券,超短期融资债券,43797862000.0000,20180331,AAA,AAA,True,AAA,False
35,000540,2018-08-20,债券,11035201AI0195,18苏交通SCP013(总价),150210498.32,0.008126,011801195.IB,江苏交通控股有限公司,604171,短期融资券,超短期融资债券,103396226653.4300,20171231,AAA,AAA,True,AAA,False
36,000540,2018-08-20,债券,11035201DH5439,17陕煤化CP002(总价),40119447.59,0.00217,041754039.IB,陕西煤业化工集团有限责任公司,0PI470183C,短期融资券,一般短期融资券,137771548082.5200,20180331,AAA,AAA-,False,AAA,False
37,000540,2018-08-20,债券,11035201DH5621,17冀交投CP003(总价),60272528.92,0.0032600000000000003,041756021.IB,河北交通投资集团公司,c4i13ZBQer,短期融资券,一般短期融资券,38078044680.0700,20180331,AAA,AAA,False,AAA,False
38,000540,2018-08-20,债券,11035201DI0024,18恒信租赁CP001(总价),80000090.5,0.004328,041800124.IB,海通恒信国际租赁股份有限公司,BGr1EQB0zE,短期融资券,一般短期融资券,11889426086.6500,20180331,AAA,AAA,False,AAA,False
39,000540,2018-08-20,债券,11035201DI0045,18河钢集CP003(总价),70001366.16,0.003787,041800145.IB,河钢集团有限公司,47RA7347AE,短期融资券,一般短期融资券,103476804605.9500,20171231,AA+,AA+,False,AA+,False
40,000540,2018-08-20,债券,11035201DI0053,18平安租赁CP001(总价),150002807.8,0.008114,041800153.IB,平安国际融资租赁有限公司,EGD8Ntrw7N,短期融资券,一般短期融资券,23194484262.0000,20180331,AAA,AAA,False,AAA,False
41,000540,2018-08-20,债券,11036901080217,08国开17(总价),99869113.4,0.0054020000000000006,080217.IB,国家开发银行,2002700,金融债,政策银行债,1240475000000.0000,20171231,AAA,AAA,False,AAA,True
42,000540,2018-08-20,债券,11036901120401,12农发01(总价),50027379.73,0.002706,120401.IB,中国农业发展银行,04M5F620A3,金融债,政策银行债,135600000000.0000,20171231,,,False,,True
43,000540,2018-08-20,债券,11036901130421,13农发21(总价),50084723.4,0.0027089999999999996,130421.IB,中国农业发展银行,04M5F620A3,金融债,政策银行债,135600000000.0000,20171231,,,False,,True
44,000540,2018-08-20,债券,11036901140312,14进出12(总价),60403063.09,0.0032679999999999996,140312.IB,中国进出口银行,0MT64BBFB6,金融债,政策银行债,314205453700.0000,20161231,,,False,,True
45,000540,2018-08-20,债券,11036901150315,15进出15(总价),49954750.89,0.002702,150315.IB,中国进出口银行,0MT64BBFB6,金融债,政策银行债,314205453700.0000,20161231,,,False,,True
46,000540,2018-08-20,债券,11036901150317,15进出17(总价),19980738.65,0.001081,150317.IB,中国进出口银行,0MT64BBFB6,金融债,政策银行债,314205453700.0000,20161231,,,False,,True
47,000540,2018-08-20,债券,11036901160208,16国开08(总价),99411784.19,0.005377999999999999,160208.IB,国家开发银行,2002700,金融债,政策银行债,1240475000000.0000,20171231,AAA,AAA,False,AAA,True
48,000540,2018-08-20,债券,11036901170211,17国开11(总价),230375077.49,0.012461999999999999,170211.IB,国家开发银行,2002700,金融债,政策银行债,1240475000000.0000,20171231,AAA,AAA,False,AAA,True
49,000540,2018-08-20,债券,11036901180305,18进出05(总价),199851456.23,0.010811,180305.IB,中国进出口银行,0MT64BBFB6,金融债,政策银行债,314205453700.0000,20161231,,,False,,True
50,000540,2018-08-20,债券,11036901180307,18进出07(总价),49978166.3,0.002704,180307.IB,中国进出口银行,0MT64BBFB6,金融债,政策银行债,314205453700.0000,20161231,,,False,,True
